SiO2(wt%),TiO2(wt%),Al2O3(wt%),FeOT(wt%),CaO(wt%),MgO(wt%),MnO(wt%),P2O5(wt%),Na2O+K2O,Na2O+K2O/SiO2
60.09,0.7,14.46,8.71,6.65,3.24,0.14,0.16,4.44,0.07388916625
58.89,0.91,16.12,9.38,7.07,2.6,0.19,0.13,3.92,0.0665647818
58.9,0.68,19.25,8.4,1.76,4.29,0.16,0.32,4.41,0.07487266553
58.57,0.93,16.22,9.07,7.78,3.81,0.17,0.11,3.34,0.05702578112
58.85,1.13,15.45,8.33,5.42,4.49,0.15,0.15,5.09,0.08649107901
58.8,0.92,16.23,8.95,7.28,2.75,0.14,0.24,4.69,0.07976190476
60.44,0.95,17.42,6.94,5.54,3.1,0.15,0.21,5.24,0.08669755129
60.21,0.16,14.46,7.71,9,5.42,0.11,0.03,2.9,0.04816475668
59.4,0.82,17.8,6.88,4.3,5.22,0.13,0.13,5.15,0.0867003367
58.7,1.03,13.5,9.63,7.12,3.38,0.15,0.2,4.9,0.08347529813
59.09,0.84,17.12,7.28,6.15,3.11,0.14,0.15,5.07,0.08580132002
59.83,0.86,17.6,5.6,6.18,3.25,0.09,0.18,5.32,0.08891860271
58.22,0.54,18.52,6.15,7.26,2.92,0.14,0.2,4.48,0.07694950189
58.43,1.14,16.66,6.32,4.89,1.65,0.09,0.24,4.25,0.07273660791
60.31,0.69,14.41,8.22,7.38,3.09,0.21,0.16,3.98,0.06599237274
60.58,0.64,16.87,4.55,5.86,2.79,0.08,0.15,4.92,0.08121492242
61.44,0.53,16.47,6.27,6.47,2.75,0.17,0.13,4.35,0.07080078125
59.81,0.68,16.01,7.08,6.96,2.98,0.16,0.1,4.57,0.07640862732
60.74,0.76,15.94,7.42,7.14,3.81,0.13,0.1,3.96,0.06519591702
58.08,0.77,17.16,4.44,0.08,4.49,3.72,0.18,4.53,0.07799586777
48.1,3.36,14.4,10.83,10.8,5.88,0.25,0.39,3.5,0.07276507277
51.08,3.57,12.95,13.2,9.8,5.26,0.2,0.48,3.47,0.06793265466
50.23,1.05,18.43,10.45,10.34,5.45,0.18,0.13,2.58,0.05136372686
49.2,1.25,15.83,10.4,12.36,6.56,0.21,0.12,2.23,0.04532520325
51.73,1.92,14.2,10.68,9.1,5.43,0.18,0.2,3.63,0.07017204717
50.9,2.74,13.2,13.9,10,5.7,0.24,0.27,3.03,0.05952848723
48.72,0.98,16.69,11.78,9.24,7.07,0.06,0.04,3.35,0.06876026273
48.35,0.79,14.58,12.59,9.71,8.18,0.21,0.1,3.12,0.0645294726
50.6,0.73,12.9,11.7,10.5,9.6,0.21,0.1,2.5,0.04940711462
50.86,2.15,14.67,10.73,10.11,5.72,0.21,0.26,3.34,0.06567046795
49.4,2.24,16.05,9.72,11.65,5.2,0.19,0.27,3.44,0.06963562753
50.7,0.28,11.19,8.39,8.56,13.72,0.178,0.071,2.45,0.0483234714
46.72,2.49,14.66,12.03,12.23,6.55,0.19,0.36,2.93,0.0627140411
48.76,2.25,12.67,11.36,8.79,12.69,0.16,0.28,2.49,0.05106644791
47.04,1.579,14.22,10.63,11.82,6.74,0.175,0.12,2.31,0.04910714286
50.97,1.04,15.58,9.15,10.68,9.13,0.16,0.25,3.12,0.06121247793
48.71,1.84,13.92,11.55,9.17,9.22,0.17,0.26,3.87,0.07944980497
48.99,0.8,15.42,9.12,11.35,11.06,0.16,0.11,2.62,0.0534803021
46.53,1.47,15.73,12.98,11.03,8.31,0.19,0.14,2.13,0.04577691812
46.4,2.7,13.6,12.3,10.3,6.7,0.22,0.25,3.15,0.06788793103
53.48,0.695,17.39,8.06,10.67,5.26,0.169,0.149,3.086,0.05770381451
54.9,0.66,20.58,6.95,9.4,2.77,0.15,0.23,3.76,0.06848816029
53.28,0.852,16.94,7.7,8.805,5.28,0.1455,0.173,3.925,0.07366741742
55.14,0.95,17.52,8.37,8.81,3.47,0.16,0.16,3.56,0.06456293072
53.14,1.12,15.12,10.1,9.19,4.72,0.2,0.14,3.9,0.07339104253
55,0.85,17.8,7.3,7.9,4.06,0.19,0.21,3.5,0.06363636364
54.29,0.72,15.08,8.22,9.47,8.11,0.15,0.11,3.31,0.06096887088
55.382,0.719,15.482,8.55,7.573,3.464,0.153,0.218,3.876,0.06998663826
53.6,0.89,18.89,8.86,8.83,3.88,0.2,0.23,4.02,0.075
55.83,0.78,18.59,5.93,8.71,4.04,0.12,0.22,4.81,0.08615439728
53.21,0.65,16.98,8.82,10.09,3.58,0.16,0.14,3.26,0.0612666792
55.9,0.54,18.45,6.68,8.48,4.36,0.16,0.1,3.27,0.05849731664
54.19,0.82,18.48,8.57,7.85,3.33,0.18,0.23,4.4,0.08119579258
52.95,0.81,14.1,7.27,9.97,7.43,0.17,0.17,3.46,0.06534466478
52.74,1.39,17.11,8.41,8.34,7.54,0.15,0.33,4,0.07584376185
52.89,0.74,19.43,7.86,9.17,3.37,0.13,0.15,3.54,0.06693136699
53.66,0.91,16.97,8.34,8.68,6.77,0.16,0.17,4.05,0.07547521431
54.3,1.23,17.25,9.18,6.72,3.23,0.18,0.22,4.45,0.08195211786
55.34,0.86,18.34,6.64,8.69,4.32,0.13,0.17,4.53,0.08185760752
54.27,0.86,17.05,6.44,6.83,5.15,0.11,0.19,4.45,0.08199742031
42.35,2.97,12.91,11.17,11.9,10.46,0.22,0.67,4.58,0.1081463991
42.06,2.59,12.69,10.03,10.99,9.92,0.24,0.98,4.76,0.1131716595
42.5,2.25,12.99,12.61,11.27,9.83,0.23,0.88,4.47,0.1051764706
42.385,3.955,14.037,12.2,11.435,9.7,0.19,0.852,4.764,0.1123982541
44.13,1.82,14.11,12.59,8.96,9.76,0.22,0.31,3.39,0.07681849082
43.3,2.84,11.55,11.88,10.75,12.7,0.17,0.41,3.34,0.07713625866
43.72,2.88,15.94,10.64,9.93,6.45,0.1416,0.828,4.7,0.1075022873
42.35,2.44,11.53,12.21,9.75,8.76,0.29,1.14,4.72,0.1114521842
42.8,3.52,15.42,10.64,10.5,5.69,0.2,0.7,4.53,0.1058411215
42.4,3.5,10.3,11.88,10.7,14.9,0.17,0.42,3.4,0.08018867925
43.13,3.25,14.5,11.63,10.52,7.01,0.18,1.29,4.33,0.1003941572
42.99,3.82,14.48,11.92,12.82,7.68,0.17,0.59,4.2,0.09769713887
43.725,3.245,14.157,11.84,11.38,10.33,0.2,0.642,4.527,0.1035334477
43.52,1.82,14.15,11.25,9.73,13.87,0.18,0.51,3.61,0.08295036765
43,2.87,11.7,10.89,12.2,12.7,0.23,0.56,4.36,0.1013953488
43.03,2.42,12.35,10.16,10.46,11.62,0.19,0.81,3.87,0.08993725308
42.61,2.44,10.97,12.88,11.68,13.79,0.18,0.43,3.38,0.07932410232
43.43,2.827,13.41,12.521,10.36,10.41,0.207,0.838,4.48,0.1031545015
43.22,1.64,15.47,9.57,9.85,9,0.18,0.46,4.71,0.1089773253
43.78,3.21,12.27,12.32,11.62,10.3,0.21,0.78,4.64,0.1059844678
65.06,0.67,18.15,3.9,4.39,1.68,0.1,0.09,5.58,0.08576698432
66.34,0.47,15.63,3.78,4.4,1.78,0.06,0.11,6.2,0.09345794393
68.04,0.33,11.71,5.62,3.33,0.42,0.09,0.07,6.37,0.09362139918
66.15,1.08,13.92,5.57,2.67,0.89,0.07,0.18,4.58,0.06923658352
67.93,1.12,12.41,6.12,3.32,1.11,0.11,0.44,6.34,0.09333137053
64.95,0.6,15.99,5.2,5.01,2.11,0.11,0.12,5.51,0.08483448807
64.4,0.59,17,4.85,5.71,1.83,0,0.1,5.53,0.08586956522
64.98,0.69,16.34,5.36,4.6,1.8,0.13,0.17,5.22,0.08033240997
66.13,0.44,17.13,3.74,4.78,1.9,0.08,0.14,6.03,0.09118403145
66.78,0.46,16.06,2.93,4.35,2.17,0.06,0.13,6.44,0.0964360587
67,0.6,15.7,4.6,4.7,1.4,0.1,0.1,5.7,0.08507462687
64.3,0.5,16.6,3.93,5.47,2.53,0.09,0.18,5.89,0.09160186625
67.1,0.48,14.92,3.45,3.63,1.2,0.1,0.139,6.23,0.09284649776
65.92,0.48,15.67,3.45,4.65,2.03,0.06,0.14,6,0.09101941748
64.7,0.5,17.3,3.94,4.34,1.91,0.07,0.15,6.05,0.09350850077
64.91,0.6,15.85,3.87,4.85,2.29,0.07,0.16,6.17,0.09505469111
65.54,0.63,15.03,4.08,4.28,2.51,0.08,0.17,6.26,0.09551418981
64.54,0.7,15.36,5.55,5.96,1.29,0.07,0.22,5.69,0.08816237992
69.3,0.24,14.5,1.42,1.69,0.96,0.06,0.04,6.4,0.09235209235
70.79,0.33,7.99,6.69,0.94,0.89,0.36,0.02,5.03,0.07105523379
42.57,0.88,15.71,9.06,11.84,3.97,0.19,0.77,9.95,0.2337326756
44.3,0.92,15.95,9.34,10.82,4,0.25,0.76,11,0.2483069977
41.86,1.09,18.11,7.62,8.5,1.79,0.191,0.44,10.8,0.2580028667
42.05,0.87,13.65,10.21,6.84,6.38,0.14,0.18,10.67,0.253745541
43.7,3.21,12.93,10.93,7.26,2.22,0.44,0.52,11.13,0.2546910755
41.79,1.59,13.21,9.4,8.63,4.19,0.12,1.38,9.8,0.2345058626
47.09,0.62,18.74,4.86,7.05,1.6,0.25,0.21,13.64,0.2896581015
47.09,0.62,18.74,4.86,7.05,1.6,0.25,0.21,13.64,0.2896581015
44.52,0.95,16.17,9.5,10.78,3.93,0.23,0.79,11.65,0.2616801438
42.46,0.9,15.72,9.14,10.98,4.45,0.19,0.78,11.46,0.2699010834
41.46,2.45,16.97,8.73,9.63,2.64,0.27,0.77,12.17,0.2935359383
42.46,0.9,15.72,9.14,10.98,4.45,0.19,0.78,11.46,0.2699010834
40.4,0.97,18,7.82,12.5,3.05,0.23,0.69,9.94,0.246039604
42.37,2.75,14.18,12.2,12.23,4.2,0.24,1.56,10.18,0.240264338
42.11,2.85,14.28,12.22,12.2,4.2,0.25,1.59,10.2,0.2422227499
44.52,0.95,16.17,9.5,10.78,3.93,0.23,0.79,11.65,0.2616801438
49.36,1.08,18.3,7.51,5.18,1.08,0.2,0.17,13.69,0.277350081
44.3,0.92,15.95,9.34,10.82,4,0.25,0.76,11,0.2483069977
42.37,2.75,14.18,12.2,12.23,4.2,0.24,1.56,10.18,0.240264338
42.05,0.87,13.65,10.21,6.84,6.38,0.14,0.18,10.67,0.253745541
55.76,0.46,20.36,1.86,1.57,0.2,0,0.03,13.8,0.2474892396
58.13,0.13,20.25,4.47,1.32,0.15,0.1854,0.064,12.88,0.2215723379
57.1,0.62,16.06,7.52,1.77,0.4,0.41,0.06,12.65,0.2215411559
57.65,0.33,19.29,3.52,1.5,0.11,0.12,0.055,13.45,0.2333044232
57.3,0.102,19.07,4.12,1.38,0.1,0.136,0.036,13.61,0.237521815
56.79,0.26,19.17,6.25,2.15,0.97,0.2,0.37,13.84,0.2437048776
57,0.31,20.1,2.73,1.32,0.53,0.2,0.04,13.32,0.2336842105
58.9,0.41,19.25,3.24,1.24,0.24,0.2,0.05,13.62,0.2312393888
56.77,0.32,20.56,1.77,1.26,0.07,0.09,0.02,13.82,0.2434384358
58.64,0.51,19.75,4.35,1.91,0.42,0.21,0.15,13.59,0.2317530696
55.9,0.41,19.1,4.5,2.6,0.44,0.16,0.06,13.68,0.2447227191
56.98,0.12,21.29,1.09,1.42,0.01,0,0,12.96,0.2274482274
57.35,1.377,17.21,8.51,0.23,1.03,0.093,0.06,12.835,0.2238012206
55.92,1,18.86,5.9,2.72,0.84,0.2,0.25,13.09,0.2340844063
56.6,0.41,18.9,3.69,2.02,0.33,0.26,0.06,13.85,0.2446996466
57.7,0.06,18.3,5.22,1.17,0.24,0.25,0.099,13.19,0.2285961872
58.7,0.82,17.7,3.1,0.91,0.75,0.22,0.15,13.71,0.233560477
56.94,0.34,21.62,4.21,1.73,0.33,0.1682,0.135,12.76,0.2240955392
58.44,0.55,17.07,3.72,3.86,1,0.14,0.19,12.95,0.2215947981
57.75,0.8,20.12,3.24,3.11,0.78,0.18,0.15,13.87,0.2401731602
49.84,2.22,18.49,6.66,5.85,2.26,0.16,0.76,10.04,0.2014446228
47.5,0.96,16.1,7.35,9.88,5.16,0.15,0.83,9.27,0.1951578947
47.83,3.03,11.13,7.83,6.74,9.13,0.12,1.66,10.18,0.2128371315
50.38,2.858,13.28,10.04,6.297,5.609,0.122,0.927,8.4,0.1667328305
47.67,1.77,18.32,7.14,7.72,5.68,0.142,0.79,9.27,0.1944619257
47.3,1.81,17.5,6.21,4.4,5.6,0.12,1.4,9,0.1902748414
48.2,1.8,13.3,7.2,9.5,6.5,0.09,1.8,9.3,0.1929460581
48.26,3.02,11.4,6.96,6.15,8.13,0.12,1.72,9.85,0.2041027766
48.11,1.02,17.64,7.77,9.41,3.78,0.15,0.87,9.75,0.2026605695
46.28,1.97,17.9,7.44,8.49,6.16,0.14,0.74,9.18,0.198357822
46.53,2.49,17.47,9.39,7.28,3.06,0.24,0.88,9.66,0.2076079948
48.09,0.89,17.46,7.59,9.06,4.04,0.14,0.69,10.31,0.214389686
51.46,5.26,15.18,9.13,3.62,4.04,0.14,0.75,9.16,0.1780023319
48.2,0.87,17,6.96,10.1,4.55,0.14,0.63,8.64,0.179253112
48.45,3.05,10.97,7.51,6.49,8.64,0.13,1.85,10.1,0.2084623323
51.09,1.1,16.86,8.05,4.62,3.53,0.14,0.43,9.02,0.1765511842
49.59,2.626,14.5,9.22,6.755,6.534,0.124,0.813,8.373,0.1688445251
48.99,1.02,16.67,7.97,9.9,4.96,0.15,0.76,8.69,0.1773831394
49.52,1.591,18.39,9.54,6.05,3.01,0.167,0.67,9.781,0.1975161551
50.2,1.05,13.28,8.05,10.28,6.95,0.14,0.71,8.42,0.1677290837
44.01,1.63,7.63,12.37,7.72,22.92,0.17,0.16,1.62,0.03680981595
44.09,1.566,8.244,12.51,6.685,22.56,0.182,0.186,1.964,0.04454524836
41.6,1.54,7.91,10.96,9.16,19.26,0.14,0.26,1.84,0.04423076923
44.2,1,8.4,10.53,8.6,20.9,0.2,0.1,1.5,0.03393665158
42.25,4.01,4.64,13.31,9.63,23.91,0.21,0.5,1.67,0.03952662722
44.06,0.96,10.68,11.91,11.64,12.71,0.17,0.07,1.42,0.03222877894
41.69,1.35,6.54,11.54,6.57,24.61,0.15,0.18,1.3,0.03118253778
41.8,1.26,12.95,14.73,8.93,16.59,0.2,0.13,1.77,0.04234449761
44.39,1.22,6.14,11.81,5.53,27.43,0.18,0.12,1.52,0.03424194638
44.07,2.14,9.13,14.37,9.24,18.65,0.2,0.19,2.01,0.045609258
44.1,1.24,11.8,10.98,9.59,13.1,0.19,0.13,1.46,0.03310657596
43.89,1.69,7.25,12.79,7.36,22.97,0.15,0.15,1.58,0.03599908863
43.86,1.67,7.22,12.53,7.23,23.25,0.16,0.15,1.64,0.03739170087
44.21,2.31,7.89,11.7,8.01,18.07,0.16,0.25,2.18,0.04931011083
41.93,2.32,8.8,13.32,8.64,16.75,0.18,0.45,2.24,0.05342237062
43.67,1.83,7.92,11.82,8.22,18.75,0.18,0.16,1.46,0.0334325624
43.65,2.07,8.85,15.1,9.02,18.88,0.2,0.19,2.03,0.04650630011
44.3,1.2,10.2,10.71,8.68,19.2,0.18,0.12,1.53,0.03453724605
41.93,0.27,4.13,8.91,4.69,32.61,0.17,0.17,2.46,0.05866921059
44.1,1.78,8.36,11.14,8.67,18.8,0.17,0.24,2.02,0.04580498866
72.53,0.2,14.59,0.98,1.6,0.38,0.03,0.07,9.13,0.1258789466
74.37,0.45,11.72,3.74,0.61,0.71,0.1,0.08,7.8,0.1048810004
76.92,0.12,11.41,1.43,0.5,0.21,0.028,0.022,7.77,0.1010140406
73.1,0.0368,11.82,0.9588,0.679,0.0405,0.0075,0.0311,7.46,0.1020519836
73.84,0.29,14.38,2.1,1.38,0.29,0.08,0.03,7.39,0.1000812568
77.59,0.2081,12.87,0.3739,0.2817,0.0404,0,0.047,9.12,0.1175409202
73.37,0.41,13.95,1.84,0.7,0.19,0.05,0.06,9.39,0.1279814638
74.9,0.24,10.24,4.45,0.32,0.08,0.11,0.01,9.68,0.1292389853
74.52,0.254,10.41,4.248,0.38,0.11,0.103,0.01,8.47,0.1136607622
76.58,0.07,12.5,2.01,0.49,0.24,0.06,0.03,7.29,0.09519456777
73.41,0.0465,11.98,0.9054,0.8295,0.0255,0.1199,0.0191,7.11,0.09685328974
76.62,0.16,12.85,1.13,1.15,0.23,0.03,0.02,7.68,0.1002349256
76.06,0.06,12.48,1.02,0.54,0,0.04,0.01,8.6,0.11306863
74,0.27,12.85,1.47,1.4,0.2,0.03,0.04,7.49,0.1012162162
73.88,0.043,12.32,0.9378,0.7778,0.0414,0.0365,0.0087,7.59,0.1027341635
75.98,0.21,11.41,2.08,0.28,0.18,0.03,0.01,8.68,0.1142405896
74.26,0.1,14.87,1.07,2.3,0.48,0.02,0.06,6.84,0.09210880689
72.36,0.26,15.37,1.35,2.02,0.17,0.01,0.06,8.39,0.1159480376
74.7,0.23,12.9,2.11,0.85,0.2,0.04,0.04,8.49,0.1136546185
74,0.14,13.2,0.98,0.67,0.15,0.05,0.01,8.79,0.1187837838
45.73,3.39,16.22,11.61,9.1,4.95,0.213,0.9,7.89,0.1725344413
43.1,2.91,16.4,10.8,11.5,6.6,0.27,0.68,6.57,0.1524361949
42.1,1.4,9.9,7.5,11.2,16.4,0.1,1.2,6.7,0.1591448931
45.313,2.464,16.246,8.92,8.904,4.303,0.24,0.478,7.854,0.1733277426
42,3.1,10.9,12.51,10.5,10.9,0.2,1.5,6.04,0.1438095238
42,3,10.8,12.69,10,11.4,0.23,1.38,6.19,0.1473809524
43.6,3.77,15.9,12.87,8.82,5.4,0.23,1.21,6.61,0.1516055046
45.7,1.14,16.67,9.3,11.61,4.93,0.19,0.87,7.63,0.1669584245
41.75,2.42,12.89,12.52,12.19,8.12,0.21,1.71,6.29,0.1506586826
45.02,3.27,16.4,12.12,9.56,4.96,0.21,1.06,7.4,0.1643713905
42.51,3.69,15.15,11.03,12.03,6.57,0.2,0.98,6.05,0.1423194542
46.07,0.9,10.58,6.54,7.86,12.11,0.12,0.51,7.333,0.159170827
43.9,1.9,12.9,11.43,10.2,5.7,0.2,1.4,6.9,0.1571753986
42.34,5.33,13.04,11.67,12.23,7.15,0.19,0.84,6.68,0.1577704299
42.35,1.65,15.58,8.94,11.44,4.31,0.23,1.22,6.87,0.1622195986
44.25,3.51,16.16,13.39,7.59,5.64,0.18,0.726,6.17,0.1394350282
43.69,3.48,15.48,11.09,10.11,4.62,0.22,1.14,6.72,0.1538109407
