SiO2(wt%),TiO2(wt%),Al2O3(wt%),FeOT(wt%),CaO(wt%),MgO(wt%),MnO(wt%),P2O5(wt%),Na2O+K2O,Na2O+K2O/SiO2
46.11,0.79,15.25,10.41,12.29,5.35,0.14,0.15,3.89,0.08436347864
48.76,2.25,12.67,11.36,8.79,12.69,0.16,0.28,2.49,0.05106644791
46.6,3.54,12.41,12.35,10.98,10.13,0.19,0.45,3.35,0.07188841202
50.23,1.05,18.43,10.45,10.34,5.45,0.18,0.13,2.58,0.05136372686
46,1.56,14.17,13.78,10.88,7.28,0.23,0.1,2.42,0.05260869565
48.1,1.22,15.83,10.47,12.67,7.94,0.17,0.14,2.28,0.0474012474
49.19,1.44,15.26,10.41,10.68,6.13,0.14,0.19,3.17,0.06444399268
50.5,0.68,15.83,10.91,11.74,6.41,0.22,0.06,2.36,0.04673267327
50.53,1.27,14.6,9.87,10.05,8.89,0.18,0.38,4.19,0.08292103701
51.16,2.17,13.15,14.13,8.86,4.76,0.26,0.34,3.91,0.07642689601
48.1,3.36,14.4,10.83,10.8,5.88,0.25,0.39,3.5,0.07276507277
48.81,1.1,15.79,8.07,10.43,10.18,0.15,0.37,4.23,0.08666256915
51.27,3.18,12.64,13.65,7.67,4.09,0.255,1.42,4.28,0.08347961771
48.39,1.83,17.45,9.39,9.91,6.63,0.14,0.42,4.52,0.09340772887
50.6,0.73,12.9,11.7,10.5,9.6,0.21,0.1,2.5,0.04940711462
46.72,2.49,14.66,12.03,12.23,6.55,0.19,0.36,2.93,0.0627140411
48.71,1.84,13.92,11.55,9.17,9.22,0.17,0.26,3.87,0.07944980497
49.4,2.24,16.05,9.72,11.65,5.2,0.19,0.27,3.44,0.06963562753
45.85,1.94,14.5,8.43,10.55,9.5,0.14,0.58,4.15,0.09051254089
46.14,2.2,13.68,9.98,11.95,6.4,0.17,0.37,4.35,0.09427828349
46.2,2.69,15.16,11.92,10.67,8.26,0.19,0.39,2.81,0.06082251082
48.43,1.25,17.24,12.62,7.22,8.66,0.15,0.11,2.78,0.05740243651
47.4,1.37,8,16.47,13.7,8.17,0.247,0.088,2.62,0.0552742616
45.47,1.1,9.79,10.86,8.92,20.46,0.18,0.16,1.5,0.03298878381
51.75,0.88,18.3,10.39,9.61,4.02,0.18,0.08,2.19,0.04231884058
50.09,1.19,17.37,7.27,10.11,7.42,0.13,0.42,4.09,0.08165302456
50.22,1.87,15.81,12.08,8.25,5.19,0.12,0.37,4.66,0.09279171645
46.25,3.24,10.84,12.48,10.33,13.26,0.19,0.37,3.05,0.06594594595
49.82,3.51,13.28,13.13,9.11,4.58,0.21,0.75,4.15,0.08329987957
49.8,3.29,10.39,12.42,9.31,10.61,0.16,0.33,1.58,0.03172690763
51.08,3.57,12.95,13.2,9.8,5.26,0.2,0.48,3.47,0.06793265466
50.92,2.44,9.97,11.18,9.89,8.41,0.19,0.24,3.38,0.06637863315
50.45,1.33,16.43,8.4,9.07,8.74,0.14,0.29,4.44,0.08800792864
50.74,1.12,18.82,9.31,10.48,4.86,0.17,0.21,3.25,0.06405202996
