SiO2(wt%),TiO2(wt%),Al2O3(wt%),FeOT(wt%),CaO(wt%),MgO(wt%),MnO(wt%),P2O5(wt%),Na2O+K2O,Na2O+K2O/SiO2
57.55,0.65,18.23,6.55,7.98,3.74,0.12,0.09,4.36,0.07576020851
61.3,0.68,18.3,5.08,5.78,2.41,0.09,0.22,6.16,0.1004893964
57.14,0.65,17.17,6.66,8.28,5.01,0.12,0.13,4.1,0.07175358768
60.7,0.79,16.33,7.77,6.91,3.3,0.13,0.1,3.98,0.06556836903
57.03,1.17,17.44,7.35,6.87,3.89,0.13,0.34,5.38,0.09433631422
60.74,0.76,15.94,7.42,7.14,3.81,0.13,0.1,3.96,0.06519591702
58.65,0.44,15.04,5.46,6.56,4.79,0.16,0.08,3.86,0.06581415175
58.69,1.43,14.08,9.68,5.67,2.96,0.14,0.49,5.5,0.09371272789
58.57,0.93,16.22,9.07,7.78,3.81,0.17,0.11,3.34,0.05702578112
60.45,0.61,18.03,6.22,6.96,2.67,0.14,0.17,4.73,0.0782464847
61.9,0.68,17.19,3.73,4.79,1.87,0.05,0.25,6.59,0.1064620355
57.92,0.85,18.93,5.46,7.27,3.47,0.09,0.18,4.99,0.08615331492
60.17,1.17,16.44,6.91,5.85,3.74,0.1,0.37,6.12,0.1017118165
57.12,0.77,18.24,7.15,7.65,3.97,0.15,0.17,4.62,0.08088235294
61.8,0.54,16.3,6.25,5.85,3.57,0.1,0.11,4.83,0.07815533981
57.5,0.82,17.82,6.37,6.55,3.67,0.1,0.23,5.46,0.09495652174
59.74,0.91,16.14,8.73,6.84,2.42,0.19,0.14,4.32,0.07231335788
58.43,1.14,16.66,6.32,4.89,1.65,0.09,0.24,4.25,0.07273660791
59.45,0.72,16.84,5.64,7.04,4.79,0.1,0.35,5.07,0.08528174937
59.63,0.91,16.93,5.47,6.24,3.5,0.1,0.2,5.37,0.09005534127
49.5,1.11,12.99,12.37,11.21,8.97,0.18,0.14,2.28,0.04606060606
45.44,2.43,12.38,12.23,10.12,10.93,0.18,0.47,4.61,0.1014524648
49.8,3.29,10.39,12.42,9.31,10.61,0.16,0.33,1.58,0.03172690763
50.47,1.24,14.58,9.62,8.95,8.93,0.17,0.39,4.15,0.08222706558
46,1.56,14.17,13.78,10.88,7.28,0.23,0.1,2.42,0.05260869565
50.5,0.68,15.83,10.91,11.74,6.41,0.22,0.06,2.36,0.04673267327
48.6,0.99,17.34,9.26,10.81,5.76,0.16,0.19,3.52,0.07242798354
50.53,1.24,13.49,10.82,10.98,8.91,0.18,0.12,2.38,0.04710073224
51.27,3.18,12.64,13.65,7.67,4.09,0.255,1.42,4.28,0.08347961771
51.48,0.81,15.09,9.47,10.62,10.13,0.16,0.14,2.12,0.04118104118
46.72,2.49,14.66,12.03,12.23,6.55,0.19,0.36,2.93,0.0627140411
48.31,1.73,15.94,11.34,8.59,8.58,0.16,0.31,4.62,0.09563237425
46.25,3.24,10.84,12.48,10.33,13.26,0.19,0.37,3.05,0.06594594595
45.9,3.38,15.13,12.96,7.69,5.73,0.2,0.846,4.33,0.09433551198
47.61,1.41,16.01,11.18,11.87,7.64,0.18,0.21,3.31,0.06952320941
49.37,1.89,16.11,12.42,8.42,5.3,0,0.36,4.23,0.08567956249
45.8,3.6,13.45,11.47,11.07,6.37,0.16,0.54,4.63,0.1010917031
45.85,1.94,14.5,8.43,10.55,9.5,0.14,0.58,4.15,0.09051254089
48.35,0.79,14.58,12.59,9.71,8.18,0.21,0.1,3.12,0.0645294726
50.53,1.27,14.6,9.87,10.05,8.89,0.18,0.38,4.19,0.08292103701
56.04,0.28,13.03,8.18,10.11,8.66,0.17,0.03,2.5,0.04461099215
54.59,0.29,14.21,7.95,9.3,10.27,0.15,0.02,2.31,0.04231544239
56.72,0.62,15.77,8.44,9.93,6.16,0.21,0.11,2.26,0.0398448519
54.18,0.305,15.39,9.41,11.3,7.1,0.192,0.105,0.637,0.01175710594
54.19,0.82,18.48,8.57,7.85,3.33,0.18,0.23,4.4,0.08119579258
52.74,1.39,17.11,8.41,8.34,7.54,0.15,0.33,4,0.07584376185
54.27,0.86,17.05,6.44,6.83,5.15,0.11,0.19,4.45,0.08199742031
53.66,0.91,16.97,8.34,8.68,6.77,0.16,0.17,4.05,0.07547521431
52.54,1.01,19.92,10.21,9.37,3.72,0.19,0.2,4.14,0.07879710697
52.35,1.01,17.3,7.67,11.01,6.5,0.15,0.13,3.32,0.06341929322
53.28,0.852,16.94,7.7,8.805,5.28,0.1455,0.173,3.925,0.07366741742
53.63,0.97,18.13,8.21,8.84,4.23,0.18,0.13,3.61,0.06731307104
54.57,1.39,16.76,9.02,7.49,6.06,0.32,0.29,3.94,0.07220084295
55.88,1.15,15.38,11.04,7.48,3.68,0.22,0.14,3.8,0.06800286328
55.19,0.99,15.72,8.92,7.54,3.38,0.19,0.3,5.16,0.09349519841
52.67,1,15.97,8.78,9.52,7.28,0.17,0.16,3.48,0.06607176761
55,1.02,13.88,12.46,4.67,4.3,0.19,0.13,5.4,0.09818181818
53.21,0.65,16.98,8.82,10.09,3.58,0.16,0.14,3.26,0.0612666792
55.382,0.719,15.482,8.55,7.573,3.464,0.153,0.218,3.876,0.06998663826
55.86,0.88,16.78,7.73,6.36,4.15,0.13,0.15,4.06,0.07268170426
42.31,3.4,11.88,12.98,10.69,12.26,0.18,0.74,4.15,0.09808555897
42.71,3.92,13.29,11.56,12.66,9.32,0.2,0.69,4.21,0.09857176305
43.53,2.66,14.27,10.49,12.91,10.32,0.18,0.48,4,0.09189065013
42.75,3.62,12.7,11.33,12.58,11.08,0.19,0.61,4.14,0.09684210526
42.45,3.21,11.85,13.94,10.02,9.62,0.18,0.74,3.94,0.09281507656
44.35,3.11,14.98,11.44,10.3,9.43,0.19,0.9,4.99,0.1125140924
44.2,4,14.65,11.79,12.19,7.44,0.19,0.78,3.46,0.07828054299
43.16,3.94,14.74,13.49,9.37,7.83,0.21,1.09,3.51,0.0813253012
43.16,2.84,13.51,11.44,10.71,10.55,0.18,0.83,5.07,0.1174698795
41.9,3.58,14.7,14.04,8.3,6.77,0.21,1.32,4.91,0.1171837709
43.8,3.15,12.52,12.54,10.8,10.08,0.18,0.53,4.32,0.09863013699
42.96,2,13.01,10.28,14.24,9.81,0.199,0.8,5.08,0.1182495345
42.06,2.59,12.69,10.03,10.99,9.92,0.24,0.98,4.76,0.1131716595
42.04,4.67,13.38,13.6,12.12,7.22,0.193,0.673,3.969,0.09441008563
42.63,3.17,11.32,14.58,11.31,11.97,0.17,0.39,4.26,0.09992962702
41.97,2.37,9.9,12.09,8.47,15.4,0.19,0.95,5.09,0.1212771027
43.53,2.33,12.38,11.75,12.39,10.52,0.19,0.43,3.64,0.08362049161
42.4,3.5,10.3,11.88,10.7,14.9,0.17,0.42,3.4,0.08018867925
43.02,2.85,12.5,12.6,9.81,12.33,0.18,0.61,4.02,0.09344490934
44.19,3.19,16.11,10.74,10.67,5.93,0.2,0.72,4.52,0.102285585
66.26,0.54,15.78,3.65,4.34,1.07,0.05,0.16,7.02,0.1059462723
67.62,0.5,16.19,2.94,3.25,0.29,0.03,0.17,7.57,0.1119491275
63.21,0.64,15.46,4.3,4.15,2.32,0.07,0.18,6.74,0.106628698
69.3,0.43,16.15,3.45,3.58,1.56,0.08,0.05,5,0.07215007215
63.73,0.77,18.18,4.83,0.13,1.81,0.06,0.09,6.41,0.1005805743
64.21,0.99,16.25,5.02,4.1,1.58,0.11,0.3,7.04,0.109640243
65.47,0.38,15.66,2.81,3.38,1.54,0.06,0.12,5.75,0.08782648541
69.74,0.67,14.62,3.64,2,0.29,0.04,0.13,5.82,0.08345282478
64.2,0.58,16.37,4.09,4.95,2.27,0.062,0.19,6.32,0.0984423676
63.78,0.61,16.2,3.32,4.54,1.09,0.07,0.17,6.58,0.103167137
66.49,0.78,14.21,5.08,2.58,0.8,0.12,0.18,7.49,0.1126485186
68.5,0.6,15.3,4.6,1.98,1.66,0.05,0.11,6.69,0.09766423358
64.76,0.61,15.73,4.76,2.79,1.99,0.09,0.14,6.67,0.1029956763
64.6,0.67,16.1,5.61,1.96,4.33,0.1,0.1,6.38,0.09876160991
68.77,0.75,14.43,4.43,2.57,0.66,0.12,0.17,7.7,0.1119674277
66.28,0.58,16.16,3.57,4.06,1.73,0.07,0.15,6.47,0.09761617381
68.04,0.33,11.71,5.62,3.33,0.42,0.09,0.07,6.37,0.09362139918
64.91,0.6,15.85,3.87,4.85,2.29,0.07,0.16,6.17,0.09505469111
64.4,0.66,16.5,3.52,4.18,1.64,0.04,0.16,6.68,0.1037267081
66.64,0.62,15.56,3.45,3.8,1.31,0.07,0.21,7.26,0.1089435774
42.05,0.87,13.65,10.21,6.84,6.38,0.14,0.18,10.67,0.253745541
44.01,3.08,15.22,10.59,8.37,4.49,0.27,0.84,9.62,0.2185866848
44.6,0.891,14.83,8.67,10.72,4.2,0.164,0.73,10.46,0.234529148
44.23,0.89,15.6,8.44,10.19,4.44,0.17,0.95,10.5,0.237395433
46.65,0.832,15.78,7.62,10.19,4.66,0.15,0.74,10.91,0.233869239
40.39,0.9,13.99,13.34,4.87,8.29,0.11,0.31,9.74,0.2411487992
40.4,0.97,18,7.82,12.5,3.05,0.23,0.69,9.94,0.246039604
44.3,0.92,15.95,9.34,10.82,4,0.25,0.76,11,0.2483069977
45.07,0.96,15.55,8.06,10.33,4.3,0.16,0.87,10.67,0.2367428445
49.36,1.08,18.3,7.51,5.18,1.08,0.2,0.17,13.69,0.277350081
41.86,1.09,18.11,7.62,8.5,1.79,0.191,0.44,10.8,0.2580028667
44.32,0.89,15.62,8.51,12.09,4.91,0.18,0.96,9.54,0.2152527076
41.86,1.09,18.11,7.62,8.5,1.79,0.191,0.44,10.8,0.2580028667
42.46,0.9,15.72,9.14,10.98,4.45,0.19,0.78,11.46,0.2699010834
40.39,0.9,13.99,13.34,4.87,8.29,0.11,0.31,9.74,0.2411487992
44.01,3.08,15.22,10.59,8.37,4.49,0.27,0.84,9.62,0.2185866848
41.83,0.81,13.69,10.55,6.6,6.34,0.14,0.2,10.46,0.2500597657
44.3,0.92,15.95,9.34,10.82,4,0.25,0.76,11,0.2483069977
41.46,2.45,16.97,8.73,9.63,2.64,0.27,0.77,12.17,0.2935359383
47.78,0.75,14.4,8.37,3.65,6.75,0.08,0.23,12.3,0.257429887
55.83,0.41,20.82,3.66,1.56,0.28,0.22,0.07,14.81,0.2652695683
58.7,0.82,17.7,3.1,0.91,0.75,0.22,0.15,13.71,0.233560477
55.76,0.46,20.36,1.86,1.57,0.2,0,0.03,13.8,0.2474892396
58.44,0.55,17.07,3.72,3.86,1,0.14,0.19,12.95,0.2215947981
55.14,1.05,20.51,3.02,2.37,0.53,0.1,0.1,14.47,0.2624229235
56.95,0.14,21,2.04,0.97,0.07,0.08,0,14.48,0.2542581212
56.17,0.13,20.29,1.91,1.81,0.2,0.17,0.03,14.27,0.2540502047
55.26,0.57,21.66,2.17,1.54,0.27,0.06,0,14.63,0.2647484618
55.45,1.23,20.73,3.47,2.95,0.59,0.18,0.15,14.23,0.2566275924
57.35,1.377,17.21,8.51,0.23,1.03,0.093,0.06,12.835,0.2238012206
58.64,0.51,19.75,4.35,1.91,0.42,0.21,0.15,13.59,0.2317530696
55.05,0.18,20.1,1.95,1.23,0.11,0.07,0.06,14.19,0.2577656676
57,0.31,20.1,2.73,1.32,0.53,0.2,0.04,13.32,0.2336842105
55.96,0.87,20.81,3.26,2.31,0.43,0.16,0,14.43,0.2578627591
54.82,0.72,19.88,5.8,2.96,0.73,0.16,0.29,13.98,0.2550164174
56.2,0.15,20.3,1.87,1.8,0.13,0.17,0.03,14.52,0.2583629893
58.82,0.03,18.81,4.96,1.5,0.14,0.3,0.03,13.97,0.2375042503
56.98,0.12,21.29,1.09,1.42,0.01,0,0,12.96,0.2274482274
56.15,0.11,20,1.75,1.97,0.08,0.17,0.01,14.53,0.2587711487
56.79,0.26,19.17,6.25,2.15,0.97,0.2,0.37,13.84,0.2437048776
48.53,1.82,18.01,6.73,6.44,5.79,0.12,0.86,8,0.1648464867
48.93,3.05,11.43,6.84,5.76,8.07,0.11,1.22,11.03,0.2254240752
51.2,2.65,16.9,11.52,4.92,1.17,0.33,1.11,8.58,0.167578125
48.55,1.82,18.76,7.48,7,2.84,0.15,0.79,9.87,0.2032955716
47.83,3.03,11.13,7.83,6.74,9.13,0.12,1.66,10.18,0.2128371315
48.6,0.77,16,6.43,10.1,4.8,0.14,0.64,9.68,0.1991769547
48.4,2.25,15.18,10.29,7.48,4.69,0.28,0.55,9.73,0.2010330579
47.09,1.855,18.05,7.34,8.23,5.69,0.15,0.77,8.88,0.188575069
49.81,0.63,19.67,4.91,4.82,2.2,0.19,0.42,8.98,0.1802850833
48.26,3.02,11.4,6.96,6.15,8.13,0.12,1.72,9.85,0.2041027766
48.03,1.99,14.5,9.7,6.82,10.27,0.14846,1.03,8.47,0.1763481158
47.82,0.817,13.45,7.23,11.91,6.84,0.133,0.55,8.95,0.187160184
49,0.74,15.5,6.07,10.4,5.51,0.14,0.62,8.6,0.1755102041
48.06,3.4,18.02,9.55,7.7,3.01,0.19,0.88,9.69,0.2016229713
48.45,0.92,17.5,6.9,10.05,3.98,0.14,0.93,9.87,0.2037151703
48.11,1.02,17.64,7.77,9.41,3.78,0.15,0.87,9.75,0.2026605695
51.66,2.19,16.99,9.1,6.54,1.33,0.24,0.48,9.5,0.1838946961
49.59,2.626,14.5,9.22,6.755,6.534,0.124,0.813,8.373,0.1688445251
48.08,3.03,10.93,7.66,6.52,8.95,0.11,1.79,10.64,0.2212978369
49.69,1.88,12.76,8.55,7.28,1.55,0.14,0.73,10.52,0.2117126182
44.53,0.3,4.47,9.94,4.81,34.77,0.17,0.15,0.51,0.01145295307
44.2,1,8.4,10.53,8.6,20.9,0.2,0.1,1.5,0.03393665158
43.99,1.59,7.46,12.46,7.55,23.48,0.17,0.16,1.54,0.03500795635
41.74,1.19,5.28,10.51,5.76,27.53,0.16,0.13,0.54,0.01293723047
43.52,0.46,8.91,11.72,8.58,19.2,0.19,0.05,0.14,0.003216911765
41.6,2,7.2,11.52,9,20.2,0.2,0.2,0.3,0.007211538462
43.67,1.83,7.92,11.82,8.22,18.75,0.18,0.16,1.46,0.0334325624
43.2,1.2,9.73,11.47,8.9,15.4,0.25,0.52,2.31,0.05347222222
41.87,0.53,5.86,9.63,4.5,34.14,0.16,0.03,0.87,0.02077860043
43.96,0.88,8.19,10.58,7.86,22.12,0.16,0.12,1.22,0.02775250227
44.48,0.23,7.17,12.24,5.32,27.63,0.18,0.03,0.75,0.01686151079
44.07,1.31,5.77,13.45,6.28,27.52,0.2,0.11,1.29,0.02927161334
44.1,1.78,8.36,11.14,8.67,18.8,0.17,0.24,2.02,0.04580498866
41.93,2.32,8.8,13.32,8.64,16.75,0.18,0.45,2.24,0.05342237062
41.42,0.26,3.6,8.78,4.24,35.13,0.17,0.16,2.01,0.04852728151
43.46,0.52,2.94,18.64,4.53,28.99,0.3,0.03,0.09,0.002070869765
44.39,1.22,6.14,11.81,5.53,27.43,0.18,0.12,1.52,0.03424194638
44.91,2.36,8.45,12.14,8.47,21.11,0.17,0.28,2.1,0.04676018704
42.52,1.6,7.12,12.08,7.26,21.97,0.14,0.14,1.28,0.03010348071
44.2,0.73,8.03,10.58,8.3,25.78,0.18,0.16,0.85,0.01923076923
72.37,0.28,14.32,2.29,0.47,0.1,0.02,0.05,8.79,0.1214591682
78.62,0.119,10.74,2.48,0.09,0.03,0.028,0.02,7.78,0.09895700839
73.38,0.0427,11.77,0.7585,0.8294,0.05,0.1039,0.0013,7.91,0.1077950395
70.5,0.52,13.1,4.2,1.47,0.58,0.08,0.18,7.17,0.1017021277
76.92,0.12,11.41,1.43,0.5,0.21,0.028,0.022,7.77,0.1010140406
71.47,0.284,13.98,2.19,1.58,0.43,0.072,0.07,7.05,0.09864278718
73.2,0.33,14.33,2.23,2.47,0.44,0.07,0.07,6.61,0.09030054645
74.77,0.279,13.3,1.46,0.286,0.195,0.031,0.011,8.91,0.1191654407
76.27,0.19,12.51,1.57,0.19,0.09,0.07,0.01,8.98,0.1177396093
76.58,0.07,12.5,2.01,0.49,0.24,0.06,0.03,7.29,0.09519456777
72.64,0.0577,12.08,12.633,0.9876,0.0426,0.0582,0.0121,7.66,0.1054515419
73.84,0.29,14.38,2.1,1.38,0.29,0.08,0.03,7.39,0.1000812568
74.11,0.18,11.83,0.92,0.84,0.16,0.02,0.03,6.89,0.09296990959
77.59,0.2081,12.87,0.3739,0.2817,0.0404,0,0.047,9.12,0.1175409202
