Rock_name,SiO2(wt%),TiO2(wt%),Al2O3(wt%),FeOT(wt%),CaO(wt%),MgO(wt%),MnO(wt%),P2O5(wt%),Na2O+K2O,Na2O+K2O/SiO2
Rhyolite,78.02,0.46,11.41,1.83,1.23,0.11,0.06,0.07,5.56,0.07126377852
Rhyolite,76.99,0.21,13.86,0.6,0.79,0.46,0.06,0.04,4.95,0.06429406416
Rhyolite,75.54,0.26,14.44,1.63,1.07,0.33,0.04,0.09,7.04,0.09319565793
Rhyolite,74.47,0.46,13.55,0.94,0.73,0.18,0.02,0.07,7.79,0.1046058816
Rhyolite,79.58,0.45,12.23,0.62,1.05,0.45,0.08,0.08,3.16,0.03970846946
Rhyolite,77.12,0.4,13.75,0.93,0.83,0.42,0.04,0.04,6.38,0.08272821577
Rhyolite,77.61,0.5,13.29,1.15,1.09,0.36,0.05,0.05,3.33,0.0429068419
Rhyolite,77.59,0.2,11.33,1.14,0.57,0.5,0.08,0.04,8.52,0.1098079649
Rhyolite,76,0.14,13.97,1.51,0.83,0.38,0.09,0.08,4.05,0.05328947368
Rhyolite,75.36,0.43,11.61,0.96,1,0.48,0.02,0.04,9.31,0.1235403397
Rhyolite,77.57,0.48,13.51,0.99,1.49,0.13,0.03,0.05,6.05,0.07799406987
Rhyolite,69.75,0.17,13.68,1.46,1.45,0.49,0.07,0.05,9.91,0.142078853
Rhyolite,74.8,0.26,13.36,1.42,1.3,0.17,0.05,0.07,9.42,0.1259358289
Rhyolite,74.47,0.22,12.66,0.67,1.32,0.17,0.07,0.08,7.39,0.09923459111
Rhyolite,73.68,0.44,13.25,1.24,0.53,0.15,0.04,0.05,8.28,0.1123778502
Rhyolite,69.96,0.24,12.63,1.93,0.77,0.11,0.04,0.08,11.85,0.1693825043
Rhyolite,76.27,0.23,12.1,1.97,0.82,0.39,0.07,0.08,8.41,0.1102661597
Rhyolite,71.97,0.15,14.75,1.28,1.01,0.23,0.07,0.04,9.45,0.1313047103
Rhyolite,84,0.25,11.29,0.92,0.87,0.15,0.05,0.04,2.58,0.03071428571
Rhyolite,75.36,0.46,14.26,1.97,1.1,0.32,0.06,0.09,4.28,0.0567940552
Rhyolite,76.99,0.36,13.71,0.85,1.19,0.25,0.08,0.07,5.62,0.07299649305
Rhyolite,78.24,0.37,14.58,1.13,1.12,0.39,0.09,0.02,3.31,0.04230572597
Rhyolite,71.74,0.14,13.23,1.87,1.02,0.23,0.03,0.09,8.7,0.1212712573
Rhyolite,75.96,0.18,11.66,0.98,1.16,0.33,0.02,0.06,8.64,0.1137440758
Rhyolite,76.32,0.18,11.56,0.92,1.08,0.18,0.05,0.08,7.97,0.1044287212
Rhyolite,77.42,0.12,14.74,1.99,1.18,0.39,0.1,0.03,1.85,0.0238956342
Rhyolite,78.84,0.12,14.03,1.93,0.58,0.25,0.02,0.1,5.03,0.06380010147
Rhyolite,74.37,0.45,13.48,1.77,0.76,0.23,0.1,0.08,6.47,0.08699744521
Rhyolite,74.92,0.27,13.91,0.76,1.18,0.44,0.07,0.09,9.1,0.1214628938
Rhyolite,72.26,0.22,13.27,0.78,0.69,0.33,0.03,0.03,11.14,0.1541655134
Rhyolite,75.24,0.11,14.48,1.82,1.39,0.38,0.09,0.08,4.45,0.0591440723
