SiO2(wt%),TiO2(wt%),Al2O3(wt%),FeOT(wt%),CaO(wt%),MgO(wt%),MnO(wt%),P2O5(wt%),Na2O+K2O,Na2O+K2O/SiO2,Predicted_Label
50.71,0.39,12.66,4.91,6.22,3.28,0.03,0.10000000000000003,9.59,0.1717888101,Phonotephrite
48.96,0.48,13.25,8.93,8.95,9.14,0.12,0.14,7.34,0.1499183007,Tephrite
63.64,0.89,13.44,3.1700000000000004,4.93,1.8600000000000003,0.05,0.03999999999999998,12.64,0.1986172219,Trachyte
76.86,0.41999999999999993,11.85,1.7400000000000002,0.96,0.25,0.09,0.10000000000000003,5.11,0.0664845173,Rhyolite
42.0,2.69,13.76,7.58,11.86,10.13,0.33,1.14,10.6,0.2523809524,Foidite
47.9,0.78,16.4,9.45,9.42,7.37,0.2,0.49,5.5,0.114822547,Trachybasalt
64.66,0.95,14.33,2.63,5.27,3.85,0.1,0.29,6.92,0.1070213424,Dacite
42.96,1.21,12.54,9.85,12.31,18.15,0.24,0.29,1.88,0.043761638729999996,Picrobasalt
63.91,1.18,14.79,5.0,2.5200000000000005,1.3200000000000003,0.05,0.49,8.81,0.1378501017,Trachydacite
39.36,2.06,11.67,10.31,9.34,12.67,0.11000000000000001,0.3,13.45,0.3417174797,Foidite
65.57,1.2,14.4,4.89,1.5599999999999996,1.3100000000000005,0.07,0.15,7.92,0.1207869452,Trachydacite
54.3,0.51,13.53,6.39,5.95,5.48,0.3,0.49,10.09,0.1858195212,Tephriphonolite
54.1,0.66,19.08,6.51,6.97,2.5799999999999996,0.24,0.38,8.51,0.1573012939,Trachyandesite
53.61,0.55,14.21,6.63,6.53,6.33,0.17,0.19000000000000003,12.69,0.2367095691,Tephriphonolite
60.72,0.85,16.83,4.38,5.41,2.52,0.07,0.38,6.71,0.1105072464,Trachyandesite
56.0,0.81,12.97,5.62,7.08,5.24,0.18,0.21,11.41,0.20375,Tephriphonolite
66.95,0.78,14.84,4.72,3.2400000000000007,1.1600000000000001,0.04000000000000001,0.4,8.65,0.1292008962,Trachydacite
49.77,0.63,20.66,6.27,9.68,2.29,0.12,0.31,5.71,0.1147277476,Trachybasalt
53.6,1.35,19.03,7.77,8.42,2.93,0.16,0.27,4.44,0.0828358209,Basaltic Andesite
49.1,2.28,14.7,9.91,8.62,8.36,0.15,0.58,5.61,0.1142566191,Trachybasalt
42.0,3.1,10.9,12.51,10.5,10.9,0.2,1.5,6.04,0.1438095238,Tephrite
72.2,0.30000000000000004,13.55,2.05,0.21999999999999975,0.3899999999999997,0.01999999999999999,0.02999999999999997,8.34,0.1155124654,Rhyolite
62.96,0.7,13.88,2.5,4.81,1.8399999999999999,0.14,0.16000000000000003,11.2,0.1778907243,Trachyte
60.01,0.42999999999999994,18.33,3.71,2.79,0.6899999999999995,0.13,0.17,12.32,0.2052991168,Trachyte
55.03,2.49,14.0,6.93,7.84,3.7299999999999995,0.19,0.32,6.96,0.1264764674,Basaltic Trachyandesite
62.8,1.25,16.09,5.4,3.91,0.5600000000000005,0.08,0.23,7.16,0.1140127389,Trachydacite
55.37,0.48,14.85,2.71,11.71,1.79,0.07,0.08000000000000002,12.88,0.2326169406,Phonolite
43.24,1.13,12.91,11.37,12.64,13.41,0.27,0.33,2.7200000000000006,0.06290471785,Picrobasalt
58.4,0.7,18.4,7.07,7.54,2.18,0.16,0.22,5.11,0.0875,Andesite
60.49,0.8,16.94,5.52,3.72,1.4699999999999998,0.06000000000000001,0.42,8.04,0.1329145313,Trachyandesite
63.63,0.65,16.18,5.95,5.26,2.66,0.13,0.2,4.93,0.07747917649,Dacite
66.5,0.56,15.75,3.5900000000000003,3.26,1.1600000000000001,0.09,0.18,8.2,0.1233082707,Trachydacite
60.9,0.862,16.7,5.09,5.45,2.51,0.08,0.221,6.12,0.1004926108,Andesite
49.62,1.75,15.64,12.67,8.3,5.1,0.26,0.33,4.77,0.0961305925,Basalt
50.98,1.29,13.41,10.75,10.86,8.68,0.18,0.12,2.4299999999999997,0.04766575128,Basalt
76.85,0.09000000000000008,12.76,1.2400000000000002,0.8799999999999999,0.3200000000000003,0.04000000000000001,0.02999999999999997,7.78,0.1012361744,Rhyolite
44.32,2.25,12.61,12.64,9.83,11.48,0.19,0.54,4.72,0.1064981949,Basanite
42.0,3.0,10.8,12.69,10.0,11.4,0.23,1.38,6.19,0.1473809524,Tephrite
65.8,0.65,15.86,3.5199999999999996,1.5300000000000002,2.18,0.05,0.14,7.77,0.1180851064,Trachydacite
57.15,0.64,17.85,5.71,3.99,1.7000000000000006,0.07,0.44,10.14,0.1774278215,Trachyandesite
42.91,2.48,10.79,11.92,11.78,13.29,0.18,1.02,4.29,0.09997669541,Basanite
49.21,2.34,15.39,13.37,8.74,4.95,0.2,0.51,3.83,0.07782970941,Basalt
53.4,0.57,14.48,4.82,5.18,6.66,0.22,0.17,12.35,0.2440825601,Tephriphonolite
76.21,0.1299999999999999,11.85,1.5899999999999999,0.4400000000000004,0.25,0.04000000000000001,0.020000000000000018,8.8,0.1154704107,Rhyolite
51.57,0.78,17.52,9.57,10.29,7.39,0.17,0.10999999999999999,2.2699999999999996,0.04401783983,Basalt
43.22,4.1,16.61,12.69,9.81,5.05,0.18,1.11,4.79,0.1108283202,Basanite
46.945,3.205,16.887,10.63,7.725,4.09,0.24,1.632,6.804,0.1449355629,Tephrite
51.2,0.68,16.2,7.62,7.02,3.47,0.18,0.56,9.4,0.18359375,Phonotephrite
62.23,0.76,17.59,4.79,2.38,1.8399999999999999,0.05,0.10999999999999999,10.33,0.1659971075,Trachydacite
43.99,3.5,13.86,13.6,10.25,6.48,0.21,1.2700000000000002,6.85,0.1557172085,Tephrite
49.37,1.57,13.4,7.71,10.86,6.54,0.16,1.57,7.94,0.1608264128,Phonotephrite
60.44,0.49,18.1,4.98,2.0300000000000002,0.5899999999999999,0.17,0.15,12.15,0.2010258107,Trachyte
79.89,0.32000000000000006,14.83,0.8600000000000003,0.9000000000000004,0.3899999999999997,0.04000000000000001,0.02999999999999997,2.5299999999999994,0.03166854425,Rhyolite
48.25,1.65,18.65,9.361,10.63,4.71,0.18,0.34,5.4,0.1119170984,Trachybasalt
62.72,0.58,15.88,3.44,4.88,1.58,0.19,0.08000000000000002,10.94,0.1744260204,Trachyte
49.95,2.027,15.07,9.89,7.685,7.519,0.142,0.518,6.2,0.1241241241,Trachybasalt
70.1,0.21300000000000008,15.6,0.8899999999999997,1.33,0.3700000000000001,0.010000000000000009,0.10999999999999999,9.65,0.137660485,Rhyolite
50.8,0.7,14.2,12.96,10.23,6.87,0.37,0.03999999999999998,1.29,0.02539370079,Basalt
61.06,1.38,14.01,8.92,3.1800000000000006,7.81,0.01999999999999999,0.04999999999999999,3.13,0.0512610547,Andesite
43.49,1.79,12.85,9.81,8.67,14.7,0.17,0.73,5.46,0.1255461026,Tephrite
62.87,0.45999999999999996,18.38,3.45,0.6699999999999999,0.3600000000000003,0.35,0.17,13.39,0.2129791634,Trachyte
64.08,0.67,16.22,5.21,5.71,2.43,0.13,0.14,4.99,0.07787141074,Dacite
61.279,0.671,17.476,6.599,7.012,2.4799999999999995,0.198,0.165,4.121,0.06724979194,Andesite
66.66,1.29,17.01,3.0700000000000003,2.37,0.9199999999999999,0.06000000000000001,0.23,8.61,0.1291629163,Trachydacite
51.13,1.99,13.21,14.5,10.23,5.37,0.26,0.18,3.0600000000000005,0.05984744768,Basalt
42.7,0.649,4.07,11.64,3.26,34.9,0.17,0.06,0.44700000000000006,0.010468384070000003,Picrobasalt
48.61,0.9,15.06,10.32,6.69,7.46,0.16,0.38,5.6,0.1152026332,Trachybasalt
54.76,1.93,14.83,6.81,7.8,3.62,0.27,0.29,7.67,0.1400657414,Basaltic Trachyandesite
65.08,0.54,18.08,2.59,0.33000000000000007,0.02999999999999936,0.12,0.13,12.06,0.1853103872,Trachyte
65.95,0.64,15.2,4.64,0.7800000000000002,0.4299999999999997,0.22,0.10000000000000003,12.05,0.1827141774,Trachyte
53.76,2.5,15.92,6.65,6.35,3.4,0.17,0.24,8.37,0.1556919643,Basaltic Trachyandesite
63.51,0.71,18.23,3.98,3.75,2.98,0.03,0.58,5.21,0.0820343253,Dacite
42.35,3.09,10.28,11.91,10.08,13.0,0.18,1.29,5.13,0.121133412,Basanite
65.52,0.64,17.06,2.75,0.5999999999999996,0.29000000000000004,0.22,0.06,13.18,0.2011599512,Trachyte
44.81,2.33,14.99,10.68,9.88,9.85,0.16,0.64,3.92,0.08748047311,Basanite
64.85,1.06,16.12,3.99,3.05,1.62,0.03,0.48,8.39,0.1293754819,Trachydacite
47.89,2.86,18.77,8.26,7.96,2.94,0.18,0.67,8.87,0.1852161203,Phonotephrite
45.7,3.43,16.22,11.77,9.19,4.96,0.213,0.8799999999999999,7.64,0.1671772429,Tephrite
76.16,0.28,11.95,1.9500000000000002,1.08,0.5,0.01999999999999999,0.07,5.98,0.07851890756,Rhyolite
72.6,0.26,13.4,3.31,0.6200000000000001,0.3099999999999996,0.11000000000000001,0.07,8.31,0.1144628099,Rhyolite
44.68,2.31,12.5,12.53,7.73,12.48,0.18,0.73,4.63,0.1036257833,Basanite
76.63,0.21999999999999997,11.42,1.7199999999999998,0.6799999999999997,0.20000000000000018,0.04000000000000001,0.02999999999999997,7.65,0.09983035365,Rhyolite
44.7,0.79,5.5,12.08,4.3,30.6,0.17,0.19000000000000003,1.0499999999999998,0.023489932889999995,Picrobasalt
46.82,3.13,16.46,10.59,8.35,4.29,0.22,1.11,7.45,0.1591200342,Tephrite
55.01,1.02,16.94,4.2,9.74,6.02,0.25,0.22,3.8000000000000003,0.06907834939,Basaltic Andesite
51.21,1.22,15.12,10.13,9.71,5.56,0.07,0.17,4.29,0.08377270064,Basalt
54.99,1.47,15.88,6.55,6.81,4.72,0.32,0.42,5.95,0.1082014912,Basaltic Trachyandesite
